teamId,abbrevName,fullName,teamName,location
730375936,AC,Abilene Christian University,Wildcats,Abilene Christian
730205440,AFA,Air Force Academy,Falcons,Air Force
730365440,AAMU,Alabama A&M University,Bulldogs,Alabama A&M
4765,ALST,Alabama State University,Hornets,Alabama State
5376,ALCN,Alcorn State University,Braves,Alcorn State
730240256,APP,Appalachian State University,Mountaineers,Appalachian State
5035,ASU,Arizona State University,Sun Devils,Arizona State
730290176,ARST,Arkansas State University,Red Wolves,Arkansas State
4744,ARMY,Army West Point,Black Knights,Army
5466,AUB,Auburn University,Tigers,Auburn
730219520,PEAY,Austin Peay State University,Governors,Austin Peay
730195456,BALL,Ball State University,Cardinals,Ball State
3033,BAY,Baylor University,Bears,Baylor
730167552,BU,Bellarmine University,Knights,Bellarmine
730190336,BEL,Belmont University,Bruins,Belmont
730152960,COOK,Bethune-Cookman University,Wildcats,Bethune-Cookman
730155776,BING,Binghamton University,Bearcats,Binghamton
227,BC,Boston College,Eagles,Boston College
730189056,BGSU,Bowling Green State University,Falcons,Bowling Green
730253312,BRAD,Bradley University,Braves,Bradley
730257152,BYU,Brigham Young University,Cougars,BYU
730236160,BRWN,Brown University,Bears,Brown
730266880,BRY,Bryant University,Bulldogs,Bryant
730214144,BUCK,Bucknell University,Bison,Bucknell
730283520,BUT,Butler University,Bulldogs,Butler
5487,CP,Cal Poly,Mustangs,Cal Poly
5414,CSF,Cal State Fullerton,Titans,CSU Fullerton
730380032,CSN,Cal State-Northridge,Matadors,CSU Northridge
5091,CBU,California Baptist University,Lancers,California Baptist
730187776,CAMP,Campbell University,Fighting Camels,Campbell
730218752,CAN,Canisius College,Golden Griffins,Canisius
730306816,CCSU,Central Connecticut State University,Blue Devils,Central Connecticut State
5342,CMU,Central Michigan University,Chippewas,Central Michigan
730194432,CHSO,Charleston Southern University,Buccaneers,Charleston Southern
730358784,CLEM,Clemson University,Tigers,Clemson
4104,CCAR,Coastal Carolina University,Chanticleers,Coastal Carolina
730177792,COFC,College of Charleston,Cougars,College of Charleston
730310656,HC,College of the Holy Cross,Crusaders,Holy Cross
730232064,WM,College of William & Mary,Tribe,William & Mary
730319104,CLMB,Columbia University,Lions,Columbia
730194176,COPP,Coppin State University,Eagles,Coppin State
730298624,COR,Cornell University,Big Red,Cornell
730243840,CREI,Creighton University,Bluejays,Creighton
730283008,CSB,CSU Bakersfield,Roadrunners,CSU Bakersfield
730198016,DBU,Dallas Baptist University,Patriots,Dallas Baptist
730216192,DART,Dartmouth College,Big Green,Dartmouth
730363136,DAV,Davidson College,Wildcats,Davidson
730217984,DSU,Delaware State University,Hornets,Delaware State
730336256,DUKE,Duke University,Blue Devils,Duke
730270720,ECU,East Carolina University,Pirates,East Carolina
4844,ETSU,East Tennessee State University,Buccaneers,East Tennessee State
730271744,EIU,Eastern Illinois University,Panthers,Eastern Illinois
5417,EKY,Eastern Kentucky University,Colonels,Eastern Kentucky
5385,EMU,Eastern Michigan University,Eagles,Eastern Michigan
730252544,ELON,Elon University,Phoenix,Elon
730380544,FAIR,Fairfield University,Stags,Fairfield
730355200,FDU,Fairleigh Dickinson University,Knights,Fairleigh Dickinson
5416,FAMU,Florida A&M University,Rattlers,Florida A&M
339,FAU,Florida Atlantic University,Owls,Florida Atlantic
4964,FGCU,Florida Gulf Coast University,Eagles,Florida Gulf Coast
4468,FIU,Florida International University,Golden Panthers,Florida International
101,FSU,Florida State University,Seminoles,Florida State
730324992,FOR,Fordham University,Rams,Fordham
730231552,PFW,Fort Wayne,Mastodons,Fort Wayne
730384384,FRES,Fresno State,Bulldogs,Fresno State
730222592,WEBB,Gardner Webb University,Runnin' Bulldogs,Gardner Webb
730265088,GMU,George Mason University,Patriots,George Mason
730249216,GW,George Washington University,Colonials,George Washington
2330,GTWN,Georgetown University,Hoyas,Georgetown
730331648,GASO,Georgia Southern University,Eagles,Georgia Southern
730239744,GAST,Georgia State University,Panthers,Georgia State
100,GT,Georgia Tech,Yellow Jackets,Georgia Tech
730200832,GONZ,Gonzaga University,Bulldogs,Gonzaga
5378,GRAM,Grambling State University,Tigers,Grambling State
5310,GC,Grand Canyon University,Antelopes,Grand Canyon
5450,HARV,Harvard University,Crimson,Harvard
730321152,HP,High Point University,Panthers,High Point
730245120,HOF,Hofstra University,Pride,Hofstra
730157824,HCU,Houston Christian University,Huskies,Houston Christian
730258944,ILST,Illinois State University,Redbirds,Illinois State
730350080,INST,Indiana State University,Sycamores,Indiana State
4866,IND,"Indiana University, Bloomington",Hoosiers,Indiana
730242048,IONA,Iona College,Gaels,Iona
730378240,JKST,Jackson State University,Tigers,Jackson State
730225408,JVST,Jacksonville State University,Gamecocks,Jacksonville State
730335488,JAC,Jacksonville University,Dolphins,Jacksonville
730340096,JMU,James Madison University,Dukes,James Madison
730270464,KSU,Kansas State University,Wildcats,Kansas State
730197504,KENN,Kennesaw State University,Owls,Kennesaw State
730315008,KENT,Kent State University,Golden Flashes,Kent State
730217728,LAF,Lafayette College,Leopards,Lafayette
730162432,LAM,Lamar University,Cardinals,Lamar
730202880,LMC,Le Moyne College,Le Moyne,Le Moyne
730333184,LEH,Lehigh University,Mountain Hawks,Lehigh
730156288,LIB,Liberty University,Flames,Liberty
730322176,LU,Lindenwood University,Lindenwood,Lindenwood
730307072,LIP,Lipscomb University,Bisons,Lipscomb
730217472,UALR,Little Rock,Trojans,Little Rock
730224128,LBSU,Long Beach State University,49ers,Long Beach State
730352896,LIU,Long Island University-Brooklyn,Sharks,LIU Brooklyn
730219264,LONG,Longwood University,Lancers,Longwood
5323,LSU,Louisiana State University,Tigers,Louisiana State
3374,LT,Louisiana Tech University,Bulldogs,Louisiana Tech
730149120,LMU,Loyola Marymount University,Lions,Loyola Marymount
730363648,MAN,Manhattan College,Jaspers,Manhattan
730374656,MRST,Marist College,Red Foxes,Marist
730333696,MRSH,Marshall University,Thundering Herd,Marshall
